('the',) : 188100
('of',) : 87640
('and',) : 73101
('in',) : 63895
('to',) : 50205
('a',) : 45046
('is',) : 23742
('as',) : 20715
('on',) : 20328
('was',) : 18765
('for',) : 17054
('by',) : 16776
('with',) : 15210
('from',) : 13841
('that',) : 13133
("'s",) : 12296
('are',) : 11326
('at',) : 11115
('it',) : 10929
('were',) : 10639
('hurricane',) : 9192
('or',) : 8616
('which',) : 8609
('an',) : 8393
('tropical',) : 7488
('storm',) : 7244
('be',) : 6894
('also',) : 6737
('its',) : 6720
('this',) : 6396
('has',) : 5304
('new',) : 5170
('have',) : 5085
('over',) : 4950
('state',) : 4906
('states',) : 4592
('into',) : 4450
('one',) : 4396
('during',) : 4299
('other',) : 4283
('their',) : 4179
('after',) : 4158
('not',) : 4095
('can',) : 4075
('more',) : 3996
('united',) : 3978
('first',) : 3973
('most',) : 3945
('winds',) : 3889
('had',) : 3889
('than',) : 3660
('two',) : 3535
('damage',) : 3515
('city',) : 3498
('north',) : 3475
('but',) : 3472
('water',) : 3413
('been',) : 3406
('system',) : 3385
('such',) : 3358
('when',) : 3292
('island',) : 3243
('there',) : 3225
('all',) : 3216
('between',) : 3179
('area',) : 3165
('cyclone',) : 3138
('about',) : 3130
('they',) : 3101
('while',) : 2974
('some',) : 2941
('national',) : 2917
('people',) : 2905
('used',) : 2892
('many',) : 2892
('these',) : 2853
('wind',) : 2840
('air',) : 2763
('south',) : 2691
('million',) : 2652
('time',) : 2638
('may',) : 2581
('only',) : 2562
('atlantic',) : 2543
('september',) : 2504
('center',) : 2485
('km/h',) : 2411
('areas',) : 2409
('due',) : 2403
('weather',) : 2392
('mph',) : 2368
('world',) : 2365
('high',) : 2351
('through',) : 2314
('space',) : 2263
('including',) : 2218
('several',) : 2201
('along',) : 2174
('coast',) : 2147
('since',) : 2142
('cyclones',) : 2122
('power',) : 2110
('years',) : 2089
('ocean',) : 2085
('where',) : 2081
('near',) : 2075
('however',) : 2047
('up',) : 2037
('within',) : 2026
('season',) : 1990
('three',) : 1985
('government',) : 1982
('his',) : 1972
('would',) : 1967
('caused',) : 1963
('made',) : 1961
('known',) : 1956
('pressure',) : 1938
('around',) : 1900
('before',) : 1894
('major',) : 1885
('day',) : 1879
('river',) : 1874
('u.s.',) : 1847
('later',) : 1842
('well',) : 1821
('west',) : 1813
('county',) : 1792
('1',) : 1789
('both',) : 1786
('who',) : 1778
('population',) : 1775
('early',) : 1774
('rainfall',) : 1773
('station',) : 1762
('sea',) : 1755
('no',) : 1751
('florida',) : 1748
('east',) : 1744
('islands',) : 1739
('october',) : 1735
('earth',) : 1727
('american',) : 1717
('year',) : 1715
('large',) : 1694
('pacific',) : 1691
('surface',) : 1680
('region',) : 1680
('august',) : 1660
('became',) : 1657
('southern',) : 1649
('out',) : 1629
('low',) : 1609
('energy',) : 1594
('hurricanes',) : 1585
('under',) : 1583
('virginia',) : 1579
('category',) : 1573
('central',) : 1547
('km',) : 1538
('part',) : 1533
('being',) : 1525
('across',) : 1522
('will',) : 1497
('storms',) : 1496
('he',) : 1495
('international',) : 1491
('university',) : 1484
('form',) : 1475
('include',) : 1458
('northern',) : 1456
('war',) : 1451
('landfall',) : 1447
('because',) : 1432
('each',) : 1431
('flooding',) : 1430
('number',) : 1427
('began',) : 1420
('reported',) : 1420
('m',) : 1415
('country',) : 1415
('total',) : 1406
('then',) : 1402
('york',) : 1402
('eastern',) : 1390
('although',) : 1387
('strong',) : 1385
('use',) : 1383
('any',) : 1382
('land',) : 1376
('days',) : 1360
('mexico',) : 1353
('systems',) : 1336
('mm',) : 1330
('largest',) : 1328
('5',) : 1327
